short_name,long_name
IBCSG-QLC,International Breast Cancer Study Group - Quality of Life Core Form
HYPER 31,Hypertension Health Status Inventory
INV-2 and INVR,"Rhodes Index of Nausea and Vomiting-FORM 2 and Index of Nausea, Vomiting,..."
QOL-RA Scale,Quality of Life-Rheumatoid Arthritis Scale
IRE,Indice de Resistencia a la Enfermedad [Resistance to Illness Index]
KAP,Kingsley Alopecia Profile
LCSS,Lung Cancer Symptom Scale
QPD-32,Questionnaire for Peptic Disease-32 items
KASE-AQ,"Knowledge, Attitude and Self-efficacy Asthma Questionnaire"
Qual-OT,Quality of Life in Occupational Therapy
CAP-PRI,Chronic Acquired Polyneuropathy Patient-Reported Index
MacNew,MacNew Heart Disease Health-related Quality of Life Questionnaire
SCFS-6,Schwartz Cancer Fatigue Scale
HINT,Hearing in Noise Test
MACTAR,McMaster Toronto Arthritis Patient Preference Disability Questionnaire
SPFS,Self-Perception of Female Sexuality
MDASI,MD Anderson Symptom Inventory
MANE,Morrow Assessment of Nausea and Emesis
MKA,Moss Kitchen Assessment Revised
WHOQOL-100,World Health Organization Quality of Life assessment instrument
MRF26,Maugeri Foundation Respiratory Failure Questionnaire
WOSI,Western Ontario Shoulder Instability Index
WOOS,Western Ontario Osteoarthritis of the Shoulder index
CAT™,COPD Assessment Test™
Lugano Classification,Lugano Classification Criteria for Response Assessment for Lymphom...
NIH-CPSI,National Institute of Health Chronic Prostatitis Symptom Index
ColIQ ©,Colic Infant Questionnaire
mRS-SI,Structured Interview for the Modified Rankin Scale
CIS,Columbia Impairment Scale
UDI-6,Urogenital Distress Inventory - Short Form
INCAT,Inflammatory Neuropathy Cause and Treatment
AUQUEI,Pictured Child's Quality of Life Self Questionnaire
Well-BFQ,Well-being related to Food questionnaire
GAS-LTC,Geriatric Anxiety Scale - Long Term Care Version
MyPOS,Myeloma Patient Outcome Scale
IEQ-G,Injustice Experience Questionnaire - General Health
QOLLTI-F,Quality of Life in Life-Threatening Illness-Family Carer Version
ICIQ-UI Short Form,International Consultation on Incontinence Questionnaire - Urinary In...
PAID,Problem Areas in Diabetes scale
OSDI,Ocular Surface Disease Index
EULAR ScleroID,EULAR Systemic Sclerosis Impact of Disease
PDI,Psychological Distress Inventory
PKU-POMS,Profile of Mood States - Phenylketonuria
CHAQ-PV,Childhood Health Assessment Questionnaire - Parent Version
CHAQ-CV,Childhood Health Assessment Questionnaire - Child's Version
PGC Morale Scale,Philadelphia Geriatric Center Morale Scale
PROSQOLI,Prostate Cancer Specific Quality of Life Instrument
PMSES,Broome Pelvic Muscle Exercise Self-Efficacy Scale
Q-LES-Q,Quality of Life Enjoyment and Satisfaction Questionnaire
SCORAD,Scoring in Atopic Dermatitis
PSMS,Physical Self-Maintenance Scale
UCLA-PCI,UCLA Prostate Cancer Index
COVID-MDS,COVID-19 Moral Distress Scale
UCLA-PCI-SF,UCLA Prostate Cancer Index Short Form
HIV-SI or SDM,HIV Symptom Index
MPQOL,The Miami Pediatric Quality of Life Questionnaire: Parent Scale
HWBI,Hemophilia Well-Being Index
AMPREDICT DST,AMPREDICT Decision Support Tool
ASK-12,Adherence Starts with Knowledge 12
Strep-PRO,Patient-Reported Symptom Scale for children with streptococcal pharyngitis
QOL-Ovarian Cancer Scale,Quality of Life - Ovarian Cancer Scale
QOL Family Version,Quality of Life Family Version
QOL-CS,Quality of Life-Cancer Survivors
QOL-BMT,Quality of Life in Bone Marrow Transplant Survivors tool
QOL-Ostomy Questionnaire,Quality of Life - Ostomy Questionnaire
QOL-Thyroid Cancer Scale,Quality of Life - Thyroid Cancer Scale
The Larsen Index,The Larsen Index
PQoL Carers,Parkinsonism Carers Quality of Life
FFMQ,Five Facet Mindfulness Questionnaire
QOL-Breast Cancer Scale,Quality of Life - Breast Cancer Scale
ADREV,Assessment of Disability Related to Vision
PDQ,Perceived Deficits Questionnaire
AAQ-II,Acceptance and Action Questionnaire – II
AFQ-Y,Avoidance and Fusion Questionnaire for Youth
AFQ-Y8,Avoidance and Fusion Questionnaire for Youth- 8 items
VitiQoL,Vitiligo-Specific Quality-of-Life Instrument
SRA,Subjects' Response to Antipsychotics
REPERES-60,REPERES-60
HADS,Hospital Anxiety and Depression Scale
CIPN-R-ODS,Rasch-built Overall Disability Scale for patients with Chemotherapy-Induced P...
ADHD-RS-5 - Home version,Attention-Deficit Hyperactivity Disorder Rating Scale-5 - Home ...
ADHD-RS-5 - School version,Attention-Deficit Hyperactivity Disorder Rating Scale-5 - Sch...
MMN-RODS,Rasch-built Overall Disability Scale for Multifocal Motor Neuropathy
DM1-ActivC,Myotonic Dystrophy type 1 Activity and participation scale
FAPS-RODS,Familial Amyloid Polyneuropathy specific Rasch-built Overall Disability Scale
FAB,Frontal Assessment Battery
ASFQ,Antipsychotics and Sexual Functioning Questionnaire
Piers-Harris 2,"Piers-Harris Children's Self-Concept Scale, Second Edition"
INCB-MG Scale,Carlo Besta Neurological Institute Foundation – Myasthenia Gravis Scale
PANQOL,Penn Acoustic Neuroma Quality-of-Life scale
FSHD-RODS,Facioscapulohumeral Muscular Dystrophy - Rasch-built Overall Disability Scale
RT-FSS,Rasch-Transformed Fatigue Severity Scale
EPDS,Edinburgh Postnatal Depression Scale
ICSQoL,International Continence Society-Benign Prostatic Hyperplasia study quality-of-li...
FDSS,Fatigue and Daytime Sleepiness Scale
IGA,Investigator's Global Assessment Scale
ADEOS,ADherence Evaluation of OSteoporosis treatment
SFN-RODS,Small Fiber Neuropathy-specific Rasch-built overall disability scale
SFN-SIQ,Small Fiber Neuropathy-Symptoms Inventory Questionnaire
SLICC/ACR Damage Index,Systemic Lupus International Collaborating Clinics/American Colle...
DBAS-16,Dysfunctional Beliefs and Attitudes about Sleep - 16
CAMM,Child and Adolescent Mindfulness Measure
CLISSCO,Clinical Lichen Sclerosus Score
DQOLY-SF,Diabetes Quality of Life for Youth scale - Short Form
ICAF,Combined Index of Severity of Fibromyalgia
SOS-10™,Schwartz Outcome Scale-10
Q-LES-Q-SF,Quality of Life Enjoyment and Satisfaction Questionnaire - Short-Form
PIMS,Parkinson's Impact Scale
PCI,Pain Coping Inventory
I-RODS,Inflammatory Rasch-built Overall Disability Scale
PRQL - Parent,Pediatric Rheumatology Quality of Life Scale - Parent's Version
PRQL - Child,Pediatric Rheumatology Quality of Life Scale - Child's Version
INF1-QOL,Impact of NF1 on Quality Of Life Questionnaire
OHIP-14,Oral Health Impact Profile - 14 items
CARES-SF,Cancer Rehabilitation Evaluation System - Short Form
RSGE-CD,Rating Scale for Gait Evaluation in Cognitive Deterioration
USSIM,Urethral Stricture Symptom and Impact Measure
NEI-VFQ-25,National Eye Institute Visual Function Questionnaire-25
PDQUALIF,Parkinson's Disease Quality of Life Scale
LIT,Lupus Impact Tracker
ETDRS,Early Treatment of Diabetic Retinopathy Scale
ETDRS-DRSS,Early Treatment of Diabetic Retinopathy Scale - Diabetic Retinopathy Severity...
CADASIL Scale,Cerebral Autosomal-Dominant Arteriopathy With Subcortical Infarcts and Leu...
SUMD,Scale to Assess Unawareness of Mental Disorder
MCSI,Multidimensional Caregiver Strain Index
HBQOL©,Heartburn-Specific Quality of Life Instrument
CAS,Coronavirus Anxiety Scale
Stoma-QOL,Stoma-QOL
PTQL,Pictorial Thai Quality of Life
CSSQ,COVID-19 Student Stress Questionnaire
LPSQ,Liverpool-PEG-Specific Questionnaire
UFS-QOL,Uterine Fibroid Symptom and Health-Related Quality of Life Questionnaire
DSIQ,Digestive Symptoms and Impact Questionnaire
WSFQ,Watts Sexual Function Questionnaire
PFS,Pandemic Fatigue Scale
P-Vac-Cov19-DENT Scale,Perception Scale of the COVID-19 Vaccination Process in Dental Pr...
SAQOL-39,Stroke and Aphasia Quality of Life Scale - 39 item version
MBS,Myotonia Behaviour Scale
TRIM-W,Treatment Related Impact Measure - Weight
TRIM-D,Treatment Related Impact Measure for Diabetes
DiabMedSat,Diabetes Medication Satisfaction
DPM,Diabetes Productivity Measure
DSM,Diabetes Symptom Measure
ITSQ,Insulin Treatment Satisfaction Questionnaire
TRIM-AGHD,Treatment Related Impact Measure - Adult Growth Hormone Deficiency
TRIM-D Device,Treatment Related Impact Measure for Diabetes Device
TRIM-HYPO,Treatment Related Impact Measure - Hypoglycaemic Events
iPCQ,iMTA Productivity Cost Questionnaire
SDI,Social Dysfunction Index
WI-NRS,Worst Itch Numeric Rating Scale
CAMS-R 12-item version,Cognitive and Affective Mindfulness Scale - Revised 12-item versi...
CAMS-R 10-item version,Cognitive and Affective Mindfulness Scale - Revised 10-item versi...
QUAL-E,Quality of Life at the End of Life Measure
K-BILD,King's Brief Interstitial Lung Disease Questionnaire
BVAS v.3,Birmingham Vasculitis Activity Score - Version 3
CSFQ,Changes in Sexual Functioning Questionnaire
YQOL™,Youth Quality of Life Instrument
WeeFIM® instrument,WeeFIM® instrument
STAR-SMOQ55,Situation X Trait Adaptative Response Smoking Motivation questionnaire
RFIS,Revised Faecal Incontinence Scale
RUIS,Revised Urinary Incontinence Scale
howRU™,howRU™
MSWS-12,Multiple Sclerosis Walking Scale
TNSS,Total Nasal Symptom Score
SCS,Smoker Complaint Scale
QL-Index,Spitzer's Quality of Life Index
GRID,Smoker Anchored Withdrawal Grid
pCMT-QOL,Pediatric Charcot-Marie-Tooth Disease Quality of Life Outcome Measure
ABPS,Aberdeen Back Pain Scale
WSRS,Wrinkle Severity Rating Scale
CHAL,Quality of Life Questionnaire for Arterial hypertension
EoO-QOL-A,Adult Eosinophilic Oesophagitis Quality of Life
MHLC,Multidimensional Health Locus of Control Scales
PQOL-12,12-Item Psoriasis Quality of Life Questionnaire
PQATv2,Patient's Qualitative Assessment of Treatment version 2
CEDL v2,Child Engagement in Daily Life - Version 2
ADAS-COG,"Alzheimer's Disease Assessment Scale, Cognitive part"
IES-COVID19,Impact of Event Scale With Modifications for COVID-19
PDSS-2,Parkinson's Disease Sleep Scale 2
PSSI-5,Posttraumatic Stress Disorder Symptom Scale Interview  for DSM-5
ISDL,Impact of Chronic Skin Disease on Daily Life
SAQ,Seattle Angina Questionnaire
SIGH-A,Structured Interview Guide for the Hamilton Anxiety Scale
ISR,Inventory for Social Reliance
QUALITII,Questionnaire to Assess Life Impact of Treatment by Intravitreal Injections
CY-BOCS,Children's Yale-Brown Obsessive Compulsive Scale
AIMS2,Arthritis Impact Measurement Scales
GCOS-24,Genetic Counseling Outcome Scale
FKSI-DRS,Functional Assessment of Cancer Therapy- Kidney Symptom Index- Disease related ...
PROMIS Short Form v1.0 - Fatigue 7b Daily,Patient-Reported Outcomes Measurement Informat...
LPH,Living with Pulmonary Hypertension Questionnaire
IIEF-5 or SHIM,International Index of Erectile Function - 5 items or Sexual Health Inven...
MPS-HAQ,MPS Health Assessment Questionnaire
Norfolk QOL-DN,Norfolk Quality of Life Questionnaire - Diabetic Neuropathy
MacTSQ,Macular Disease Treatment Satisfaction Questionnaire
MacSSQ,Macular Service Satisfaction Questionnaire
RetTSQs,Retinopathy Treatment Satisfaction Questionnaire (status)
PO-SCORAD,Patient-Oriented SCORing Atopic Dermatitis
FACE-Q - Aesthetics Module,FACE-Q - Aesthetics Module
IND-VFQ,Indian Vision Function Questionnaire
ADDQoL19,Audit of Diabetes Dependent QoL 19
ADDQoL18,Audit of Diabetes Dependent QoL 18
VenousTSQ,Venous Treatment Satisfaction Questionnaire
SFS,Social Functioning Schedule
Modified JADI,Modified Juvenile Arthritis Damage Index
ADDQOL Junior and ADDQOL Junior Plus,Audit of Diabetes Dependent QoL for Junior
EASI,Eczema Area and Severity Index
RetDQoL,Retinopathy Dependent Quality of Life
GMHR,General Medical Health Rating - Version 2.0
DHQ,Daily Hunger Questionnaire
MacDQoL,Macular Disease Dependent Quality of Life
Lymph-ICF-LL,"Lymphoedema Functioning, Disability and Health Questionnaire for Lower Limb..."
MAP-BC,Myofascial Adhesions in Patients with Breast Cancer
QUALAS-T,QUAlity of Life Assessment in Spina bifida for Teenagers
QUALAS-C,QUAlity of Life Assessment in Spina bifida for Children
ICC-CQ,ICC Compression Questionnaire
PQAT-RW,Patient's Qualitative Assessment of Treatment - Real World
IIEF,International Index of Erectile Function
ICQ,Illness Cognition Questionnaire
IRGL,Impact of Rheumatic diseases on General Health and Lifestyle
PinQ,Pediatric Incontinence Questionnaire
6-MWT or SMWT,6-Minute Walk Test
SHIFT,Shift Work Disorder Index
TASQ,Therapy Administration Satisfaction Questionnaire
PAS,Panic and Agoraphobia Scale
HAnDE,Hand scleroDerma lived Experience scale
ZCI-AD-27,Zarit Caregiver Interview for Alzheimer's Disease 27
ReSVinet Scale - Parent,ReSVinet Scale - Parent version
GERD-HRQL,GastroEsophageal Reflux Disease Health Related Quality of Life scale
CIRS,Cumulative Illness Rating Scale
DISABKIDS,DISABKIDS
PSYCHLOPS,Psychological Outcome Profiles
PSYCHLOPS Kids,Psychological Outcome Profiles for Kids
mini-FROGS,Mini - Functional Remission of General Schizophrenia
OSIS,Oxford Shoulder Instability Score
FROGS,Functional Remission of General Schizophrenia
PedsQL™ Generic Core Scales,Pediatric Quality of Life Inventory™ Generic Core Scales
PedsQL™ Cognitive Functioning Scale™,Pediatric Quality of Life Inventory™ Cognitive Func...
PedsQL™ 3.0 Rheumatology Module,Pediatric Quality of Life Inventory™ 3.0 Rheumatology Mo...
PedsQL™ Sickle Cell Disease Module,Pediatric Quality of Life Inventory™ Sickle Cell Dise...
PedsQL™ Eosinophilic Esophagitis Symptoms Scales,Pediatric Quality of Life Inventory™ Eo...
PedsQL™ Eosinophilic Esophagitis Module,Pediatric Quality of Life Inventory™ Eosinophili...
PedsQL™ Arthritis Module,Pediatric Quality of Life Inventory™ Arthritis Module
PedsQL™ Gastrointestinal Symptoms Module,Pediatric Quality of Life Inventory™ Gastrointe...
PedsQL™ Gastrointestinal Symptoms Scales,Pediatric Quality of Life Inventory™ Gastrointe...
PedsQL™ Infant Scales™,Pediatric Quality of Life Inventory™ Infant Scales™
PedsQL™ Asthma Module Short Form,Pediatric Quality of Life Inventory™ Asthma Module Shor...
PedsQL™ Brain Tumor Module,Pediatric Quality of Life Inventory™ Brain Tumor Module
PedsQL™ 3.0 Asthma Module,Pediatric Quality of Life Inventory™ 3.0 Asthma Module
CKD-AQ V2,Chronic Kidney Disease-Anemia Questionnaire Version 2
PedsQL™ Cardiac Module,Pediatric Quality of Life Inventory™ Cardiac Module
GOS,Genomics Outcome Scale
PedsQL™ 3.0 Cerebral Palsy Module,Pediatric Quality of Life Inventory™ 3.0 Cerebral Pals...
PedsQL™ Multidimensional Fatigue Scale,Pediatric Quality of Life Inventory™ Multidimensi...
PedsQL™ 3.0 Neuromuscular Module,Pediatric Quality of Life Inventory™ 3.0 Neuromuscular ...
PedsQL™ Cancer Module,Pediatric Quality of Life Inventory™ Cancer Module
PedsQL™ Family Impact Module,Pediatric Quality of Life Inventory™ Family Impact Module
PedsQL™ Diabetes Module 3.0,Pediatric Quality of Life Inventory™ 3.0 Diabetes Module
APAIS,Amsterdam Preoperative Anxiety and Information Scale
RPS,Regional Pain Scale
PedsQL™ Healthcare Satisfaction Hematology/Oncology Specific Module,Pediatric Quality of...
PedsQL™ Pediatric Pain Coping Inventory™,Pediatric Quality of Life Inventory™ Pediatric ...
PedsQL™ Healthcare Satisfaction Generic Module,Pediatric Quality of Life Inventory™ Heal...
PedsQL™ Stem Cell Transplant Module,Pediatric Quality of Life Inventory™ Stem Cell Trans...
NAPSI,Nail Psoriasis Severity Index
PedsQL™ Diabetes Module 3.2,Pediatric Quality of Life Inventory™ 3.2 Diabetes Module
PedsQL™ Pediatric Present Functioning Visual Analogue Scales,Pediatric Quality of Life I...
PedsQL™ Epilepsy Module,Pediatric Quality of Life Inventory™ Epilepsy Module
NSCLC-SAQ,Non-Small Cell Lung Cancer Symptom Assessment Questionnaire
PedsQL™ Pediatric Pain Questionnaire™,Pediatric Quality of Life Inventory™ Pediatric Pai...
PedsQL™ End Stage Renal Disease Module,Pediatric Quality of Life Inventory™ End Stage Re...
PedsQL™ Transplant Module,Pediatric Quality of Life Inventory™ Transplant Module
PedsQL™ 3.0 Oral Health Scale™,Pediatric Quality of Life Inventory™ 3.0 Oral Health Scal...
PedsQL™ Neurofibromatosis Type 1 Module,Pediatric Quality of Life Inventory™ Neurofibrom...
PedsQL™ General Well-Being Scale,PedsQL™ General Well-Being Scale
PedsQL™ Family Information Form,Pediatric Quality of Life Inventory™ Family Information ...
PedsQL™ Generic Core Scales Short Form 15,Pediatric Quality of Life Inventory™ Generic C...
CAN,Camberwell Assessment of Need
PCS,Pain Catastrophizing Scale
FLIE,Functional Living Index - Emesis
PUQE,Pregnancy-Unique Quantification of Emesis
PCS-C,Pain Catastrophizing Scale - Child version
IVI,Impact of Vision Impairment
IVI-RC™,Impact of Vision Impairment for Residential Care™
PCS-P,Pain Catastrophizing Scale - Parent version
VisQoL,Vision and Quality of Life Index
B-IVI™,Brief Impact of Vision Impairment™
DRKA™,Diabetic Retinopathy Knowledge and Attitudes™
EORTC QLQ-CML24,EORTC Quality of Life Questionnaire - Chronic Myeloid Leukaemia
RetCAT™ - Convenience Scale,Diabetic RETinopathy Computerized Adaptive Testing system ™ ...
DR-U™,Diabetic Retinopathy Utility instrument™
RetCAT™ - Health Concerns Scale,Diabetic RETinopathy Computerized Adaptive Testing syste...
RetCAT™ - Emotional Scale,Diabetic RETinopathy Computerized Adaptive Testing system ™ - ...
RetCAT™ - Economic Scale,Diabetic RETinopathy Computerized Adaptive Testing system ™ - E...
RetCAT™ - Lighting Scale,Diabetic RETinopathy Computerized Adaptive Testing system ™ - L...
RetCAT™ - Driving Scale,Diabetic RETinopathy Computerized Adaptive Testing system ™ - Dr...
RetCAT™,Diabetic RETinopathy Computerized Adaptive Testing system ™
RetCAT™ - Social Scale,Diabetic RETinopathy Computerized Adaptive Testing system ™ - Soc...
RetCAT™ - Activity Limitation Scale,Diabetic RETinopathy Computerized Adaptive Testing s...
RetCAT™ - Visual Symptoms Scale,Diabetic RETinopathy Computerized Adaptive Testing syste...
RetCAT™ - Mobility Scale,Diabetic RETinopathy Computerized Adaptive Testing system ™ - M...
